,recid,black,alcohol,drugs,married,felon,educ,rules,age,res_linear,res_logit,res_probit,age_20,age_30
0,0.0,0,1,0,1,0,7,2,441,0.28443098732187977,0.2832177359958173,0.28193702467345083,0,1
1,0.0,1,0,0,0,1,12,0,307,0.3953586955391879,0.3916352293313465,0.39281678794644725,0,0
2,1.0,0,0,0,0,0,9,5,262,0.41884388412866935,0.41949098786733485,0.4162087043636874,0,0
3,1.0,0,0,1,0,1,9,3,253,0.4420579914213071,0.4423961588356071,0.4412129957833872,0,0
4,0.0,0,0,1,0,0,9,0,244,0.3586796859727743,0.35300261914200787,0.3550765063452426,0,0
5,0.0,1,1,0,0,0,12,2,327,0.44849089791917224,0.4496414061408732,0.4484425144980999,0,0
6,0.0,1,0,0,0,1,10,3,314,0.47908747735710705,0.4839038414056801,0.48115303773742113,0,0
7,1.0,0,0,0,1,0,10,0,388,0.23708164503676962,0.24227189215837852,0.2408733862741736,0,1
8,0.0,1,1,0,1,0,6,0,417,0.35799268258699746,0.35278911290616854,0.3534836024753854,0,1
9,0.0,1,0,0,1,1,11,0,511,0.34152029322584065,0.33567731226051944,0.33670390710626535,0,1
10,0.0,1,1,0,0,0,11,0,328,0.39167869366063157,0.3876072135208091,0.3889105927056624,0,0
11,1.0,0,1,0,1,0,10,1,278,0.2483483563229681,0.2512811658835041,0.24951033807161727,0,0
12,1.0,1,0,0,0,0,11,0,211,0.5357135432012063,0.5419497142861084,0.5418266479947231,1,0
13,1.0,1,0,0,0,1,9,3,273,0.48627224292952653,0.49216608514760335,0.48907222712045867,0,0
14,0.0,0,0,0,0,1,11,4,292,0.38526825555095084,0.3831291707798404,0.38125890008717744,0,0
15,1.0,0,1,0,0,0,10,3,572,0.34421105286691545,0.3403186760503457,0.34016748558457444,0,1
16,0.0,0,1,0,0,0,14,1,472,0.3050979052623838,0.3024466059910762,0.3030552081645632,0,1
17,1.0,1,0,0,0,1,8,18,269,0.9117504412221554,0.867645789219709,0.8676016993337017,0,0
18,0.0,1,1,0,1,0,9,0,414,0.35851839714107697,0.3533417875909003,0.35402405551888544,0,1
19,1.0,1,0,0,0,0,9,0,288,0.3986882210483579,0.39529240244742947,0.39636030219234897,0,0
20,0.0,0,0,0,1,1,12,2,307,0.27158493200379025,0.2713164944296571,0.26959339648766456,0,0
21,0.0,0,0,0,0,0,9,1,268,0.3045185228728154,0.3018269925179124,0.3019973144360898,0,0
22,0.0,0,1,0,1,0,12,0,455,0.22534068666232804,0.2324902227312939,0.23087825553397195,0,1
23,1.0,0,0,0,0,0,11,0,342,0.2632324141685979,0.2639525080739443,0.26416520386460074,0,0
24,0.0,1,0,0,0,0,6,0,582,0.3834961668155421,0.3787704311017377,0.38081022369659023,0,1
25,1.0,1,0,0,1,1,11,3,377,0.44995765908549507,0.4519346739713609,0.44890211721438456,0,1
26,0.0,0,0,0,0,1,12,3,601,0.33912914551081386,0.33508734727829903,0.3350332791966187,0,1
27,0.0,0,0,0,0,0,9,7,295,0.46969799010764257,0.4757629229511693,0.4699032525630111,0,0
28,1.0,1,0,0,0,0,8,4,242,0.5200231096919382,0.5301863699679811,0.5253807811484861,0,0
29,0.0,1,0,1,0,0,10,0,255,0.482745010847479,0.4855324061506114,0.48589395194432655,0,0
30,0.0,0,0,0,0,1,9,8,276,0.5013459986537363,0.5113799698777178,0.503882187381315,0,0
31,0.0,0,0,0,0,0,9,2,438,0.3393744865788749,0.3360328116488192,0.3361032986378574,0,1
32,1.0,0,0,0,0,1,10,8,265,0.5032736186853611,0.5135966028438655,0.5060081977023739,0,0
33,1.0,1,0,0,0,0,10,4,247,0.5191469187684724,0.5291817327199589,0.5244162205062134,0,0
34,0.0,0,1,0,0,0,5,0,373,0.2941280025100827,0.292545487468413,0.2933217131980105,0,1
35,0.0,0,1,0,0,0,11,0,516,0.2690689420989611,0.2692580408012494,0.2699413170441344,0,1
36,0.0,0,0,1,0,1,10,6,292,0.5201791513290451,0.5296611883139133,0.5244503712227879,0,0
37,0.0,0,1,0,1,0,11,0,283,0.21915368236257854,0.22739990984976519,0.22527667573000282,0,0
38,0.0,1,0,1,1,0,9,0,454,0.42978279945759756,0.4265288372856368,0.4276210259596728,0,1
39,1.0,1,0,0,0,0,9,0,205,0.5367649723093653,0.5431507812301041,0.5429798228912783,1,0
40,0.0,0,0,0,0,0,10,0,211,0.40972059829487684,0.404040384736113,0.4064923038103274,1,0
41,0.0,1,0,0,0,0,7,0,356,0.38677202448922315,0.3822604199505274,0.38371981541511,0,0
42,1.0,0,0,1,1,0,8,0,292,0.29585046840458695,0.29117300928619333,0.29204217933253906,0,0
43,0.0,1,0,1,0,0,5,0,373,0.49839487712065905,0.5036038509628605,0.5037230410305037,0,1
44,1.0,0,1,0,1,0,13,0,238,0.3505713826052459,0.3417405019501598,0.3437754741289303,1,0
45,0.0,0,0,0,0,1,9,0,400,0.28939657152336745,0.2880589239774787,0.28883609777087926,0,1
46,1.0,1,1,0,1,0,12,2,285,0.4014331169733692,0.398107450681534,0.3967493943552837,0,0
47,0.0,0,0,0,0,1,10,4,302,0.38351587370401924,0.38122475954501817,0.37941363321069305,0,0
48,1.0,0,0,0,0,1,11,2,471,0.3335916264840007,0.33012048643196806,0.33029087089935105,0,1
49,1.0,1,0,1,0,1,10,3,255,0.5677004599582502,0.5802491430091284,0.5764228480194918,0,0
50,1.0,1,0,0,0,1,12,0,293,0.39781203012489214,0.39432883353687936,0.39542695495553193,0,0
51,0.0,1,0,0,0,0,12,0,248,0.40569774843608425,0.4030296853280227,0.40384804636823546,0,0
52,1.0,0,0,0,0,0,10,1,286,0.3013642355483385,0.29877649168874537,0.2989628902752794,0,0
53,0.0,0,0,1,0,0,9,0,215,0.48729357526035105,0.4871858621673445,0.4891937160640063,1,0
54,0.0,1,0,1,0,1,5,0,675,0.44547294534332527,0.44295858809617117,0.4455203376525541,0,1
55,1.0,1,1,0,0,0,12,0,307,0.3953586955391879,0.3916352293313465,0.39281678794644725,0,0
56,0.0,1,0,0,0,0,9,0,249,0.4055225102513911,0.402835646519299,0.40366041024997246,0,0
57,1.0,0,0,0,1,0,10,1,276,0.24869883269235443,0.25158477561914583,0.24981804582352152,0,0
58,0.0,1,0,0,0,0,12,4,394,0.5297148776855508,0.5413483279196323,0.5366066715158362,0,1
59,0.0,0,0,1,0,0,11,0,362,0.37432955224595427,0.36968589025180654,0.37185202281920887,0,1
60,1.0,0,0,1,1,1,6,0,416,0.310448905569608,0.3052902893919585,0.306555700710721,0,1
61,0.0,0,0,0,0,0,10,0,314,0.26813908334000636,0.268363388057194,0.26862045265523904,0,0
62,0.0,1,1,0,0,1,11,2,357,0.4432337523783775,0.4436612008725822,0.44269795848529037,0,0
63,0.0,1,0,0,1,0,16,1,397,0.3898159293177844,0.3861693485342498,0.38583031374866483,0,1
64,1.0,1,0,1,1,0,7,0,512,0.4196189847453944,0.41512760560643047,0.4166249537738342,0,1
65,0.0,0,1,0,0,1,12,0,275,0.2749733725430395,0.27458432812485795,0.2748882688341471,0,0
66,0.0,1,0,0,1,1,6,0,730,0.30314313077803895,0.29749548962885014,0.2988948213376133,0,1
67,0.0,1,1,0,1,0,12,0,368,0.36657935363696226,0.36186454075645197,0.36234725768971454,0,1
68,0.0,0,1,0,1,0,4,0,457,0.22499021029294172,0.23220250676539034,0.23058349630666186,0,1
69,1.0,1,0,0,0,1,12,0,243,0.40657393935955005,0.4040003335694126,0.4047865580623714,0,0
70,0.0,0,0,0,0,1,7,1,569,0.2880998013471474,0.28620041086492026,0.28684333342754914,0,1
71,1.0,0,0,0,0,0,8,0,213,0.4093701219254905,0.403652022399217,0.40611643765418703,1,0
72,0.0,0,0,0,0,1,12,2,424,0.3418278211645791,0.33855681173143426,0.33858116781627,0,1
73,1.0,0,1,1,0,1,11,8,285,0.5780427846957448,0.5936042155287529,0.5858161987919092,0,0
74,0.0,1,0,0,1,1,12,0,332,0.33655995621894325,0.330545218502388,0.33119371908081763,0,0
75,1.0,1,0,0,0,1,11,2,322,0.44936708884263804,0.4506395714919953,0.44940102578527114,0,0
76,0.0,0,0,1,1,0,11,0,270,0.29970570846783645,0.29484877372822266,0.2957134334538698,0,0
77,1.0,0,0,0,0,1,8,3,292,0.35694977251402704,0.3535399193609197,0.3526354460363099,0,0
78,0.0,0,0,0,1,0,12,0,304,0.21547368048402224,0.22443790194255353,0.2222348146671338,0,0
79,0.0,0,0,0,1,1,11,0,501,0.21727973016644275,0.22593570391874512,0.2241522457931906,0,1
80,1.0,1,0,0,0,0,10,0,259,0.40377012840445947,0.4008969402303103,0.40178527525866536,0,0
81,1.0,0,0,0,1,0,6,0,611,0.19800352985019534,0.21079744955805824,0.20852779933603638,0,1
82,0.0,1,0,0,1,0,12,0,458,0.35080791701457803,0.34527583877168483,0.3461274120817983,0,1
83,0.0,0,1,0,1,0,5,0,889,0.14928731450549734,0.17590424097688664,0.17201515936597367,0,1
84,0.0,0,0,1,1,1,9,1,291,0.32434418962620387,0.31828603310353365,0.31885422835845467,0,0
85,1.0,0,0,0,0,1,10,3,307,0.3543211997436297,0.3507797857433333,0.34993997233274016,0,0
86,0.0,1,0,0,0,1,12,1,412,0.44160514125030276,0.44264634785338997,0.44237550341955484,0,1
87,1.0,1,0,0,0,0,10,0,225,0.5332602086155022,0.5391453517650568,0.5391345536962636,1,0
88,0.0,0,0,1,0,0,12,1,241,0.3875238835637775,0.3831452262972955,0.384318499074187,0,0
89,1.0,0,0,0,0,0,7,2,262,0.33388843501789806,0.3303624860523058,0.33007040823038025,0,0
90,1.0,1,0,0,0,0,12,2,248,0.46233471450993174,0.4654546279130488,0.46361853810838977,0,0
91,0.0,0,0,1,0,0,12,0,240,0.3593806387115469,0.3537398082214615,0.3557983271833714,0,0
92,0.0,1,0,0,1,0,12,1,250,0.37924797040070596,0.37464156626866424,0.37416156805535306,0,0
93,0.0,0,0,0,1,1,7,0,377,0.23900926506839437,0.24390431726122208,0.24253658455169858,0,1
94,0.0,0,1,0,0,0,4,0,606,0.2532975054765768,0.25521676459377207,0.25572044004541944,0,1
95,1.0,1,0,0,0,0,8,11,329,0.7030067688820997,0.7193653104462487,0.7101364581829535,0,0
96,1.0,0,1,0,0,0,9,1,280,0.3024156646564975,0.2997913589095968,0.29997282607416154,0,0
97,0.0,0,0,0,0,1,7,4,349,0.3752796790234408,0.3723236960786199,0.37077826320287927,0,0
98,0.0,0,0,0,1,0,7,0,654,0.19046828790838954,0.20508558749411074,0.20259902456814688,0,1
99,0.0,1,0,0,0,0,8,0,244,0.4063987011748569,0.40380614354833466,0.40459881171473405,0,0
100,0.0,0,0,0,0,0,9,0,253,0.278828612606289,0.27813284861875526,0.27845547892411704,0,0
101,0.0,1,1,0,0,0,9,0,253,0.40482155751261845,0.4020597959491549,0.40291008789331567,0,0
102,0.0,1,0,0,1,0,10,0,357,0.3321790016016143,0.326098609969845,0.32681253102502583,0,0
103,1.0,1,0,1,1,0,8,1,314,0.44630665628459076,0.4443914673660522,0.4441583113965023,0,0
104,1.0,1,1,0,0,0,11,0,233,0.5318583031379569,0.537541734054679,0.5375954004136113,1,0
105,1.0,0,1,0,0,0,11,0,344,0.2628819377992116,0.26363923071075435,0.26384841807499454,0,0
106,0.0,0,0,0,0,1,12,1,297,0.2994366155167138,0.29692103463109526,0.2971153640720321,0,0
107,0.0,1,0,0,0,0,9,0,309,0.39500821916980156,0.3912509627488594,0.3924442970891273,0,0
108,1.0,1,0,1,0,0,9,2,243,0.5414848351376444,0.5513798154469155,0.5487586785335319,0,0
109,0.0,1,0,0,0,0,11,1,311,0.422976225837339,0.421543004170926,0.42156786305484684,0,0
110,0.0,1,1,1,0,0,8,0,281,0.47818881804545693,0.4802959826894134,0.4808728378104466,0,0
111,0.0,0,0,0,0,1,10,0,308,0.2691905124481653,0.2693146256752057,0.2695800381665502,0,0
112,0.0,0,0,0,0,1,8,0,622,0.2504936945214863,0.25277155462720885,0.25323386643445067,0,1
113,1.0,1,1,0,0,0,7,0,636,0.3740333048421115,0.36857749195503875,0.3708825849002081,0,1
114,0.0,1,0,0,0,0,13,1,331,0.41947146214347586,0.4176145917189894,0.41778073166204854,0,0
115,0.0,0,0,0,0,1,12,0,300,0.27059241792571054,0.2705862492459446,0.27086215169324535,0,0
116,1.0,0,0,1,0,0,12,1,342,0.3698248269097685,0.364084118150471,0.36576423551154813,0,0
117,1.0,0,1,0,1,0,6,0,575,0.20431210449914905,0.21566847796081284,0.21356920595170437,0,1
118,0.0,0,0,0,0,0,7,0,215,0.4090196455561042,0.4032637807616709,0.4057406580064459,1,0
119,1.0,0,0,0,0,1,9,3,265,0.36168120350074234,0.3585327508567022,0.3575059126346955,0,0
120,0.0,1,0,0,0,0,13,0,372,0.4202961856011053,0.4193616817401384,0.42011163269906726,0,1
121,0.0,1,0,0,0,1,12,0,276,0.40079107926467583,0.39760827636272533,0.3986027507675276,0,0
122,1.0,0,1,0,0,0,3,0,566,0.2603070328643031,0.2613974589628077,0.26199219832681,0,1
123,0.0,1,1,0,1,0,12,0,281,0.34549710363829433,0.3397101929942664,0.3402028126398808,0,0
124,0.0,0,0,0,0,0,8,0,471,0.2769546604101532,0.276458868305414,0.27719728328831644,0,1
125,0.0,0,0,1,1,0,11,0,503,0.29520318350130326,0.2906145776105038,0.2919184280531518,0,1
126,0.0,1,0,0,1,1,10,7,323,0.5363664811396479,0.5478857680408101,0.5398330785822012,0,0
127,0.0,0,0,1,0,1,8,5,355,0.48082066265645246,0.4851902850770876,0.48195954451193207,0,0
128,0.0,1,0,0,0,1,11,0,256,0.404295842958539,0.40147822948377243,0.4023475805068361,0,0
129,0.0,0,0,0,0,0,12,0,483,0.2748518021938353,0.27452705203822314,0.27525306252163356,0,1
130,0.0,0,0,0,1,0,7,0,629,0.1948492425257185,0.2083923562222751,0.20603363511052641,0,1
131,0.0,0,1,0,0,0,10,0,225,0.4072672637091726,0.40132439874530595,0.4038630690352317,1,0
132,0.0,0,0,0,1,0,8,1,274,0.24904930906174072,0.25188862877726736,0.25012595492508527,0,0
133,0.0,1,0,0,0,0,8,0,437,0.40890570359605005,0.40665273822788084,0.4078416439763294,0,1
134,0.0,0,0,0,1,1,8,2,260,0.2798211266843687,0.2788756735472066,0.27716924812978827,0,0
135,0.0,1,0,1,0,0,8,1,303,0.5026520610191312,0.5076560311881735,0.5069479160724449,0,0
136,0.0,1,0,0,0,0,12,1,274,0.42946003867098587,0.4288364578359194,0.42859296228110133,0,0
137,0.0,0,1,1,0,0,9,0,553,0.3408590589695611,0.3345635772608561,0.3374282013847496,0,1
138,0.0,0,0,1,0,1,10,1,361,0.4028232734675712,0.39998432016793956,0.40112786862454747,0,1
139,0.0,0,0,1,0,0,6,0,432,0.3620628793174332,0.35662951278836896,0.35909928617641784,0,1
140,1.0,0,0,0,0,0,8,0,254,0.2786533744215958,0.2779709419830353,0.27829284491758216,0,0
141,1.0,1,0,0,0,1,9,0,325,0.39220440821471103,0.38818171863759077,0.3894679436810976,0,0
142,0.0,0,1,0,0,0,12,0,348,0.26218098506043896,0.26301339251371375,0.2632154280696899,0,0
143,0.0,1,1,0,1,0,10,0,364,0.3672803063757349,0.3626098644485149,0.3630741662524573,0,1
144,1.0,0,0,0,0,0,12,0,420,0.28589180782950424,0.28476209389190565,0.2855343776893873,0,1
145,0.0,0,0,1,0,0,10,2,398,0.4246579436708481,0.4235675126949291,0.4237471148961811,0,1
146,1.0,1,0,0,1,1,4,0,533,0.3376650531625911,0.33173200573348754,0.3328217648017583,0,1
147,0.0,1,0,0,1,0,11,0,365,0.3671050681910417,0.3624234714375344,0.3628923927441377,0,1
148,0.0,0,0,0,0,0,10,0,237,0.4051644054928547,0.3990012167854694,0.401612886459419,1,0
149,1.0,1,0,0,0,1,9,1,276,0.4291095623015996,0.42844139602890624,0.42821262720689096,0,0
150,1.0,1,0,0,1,0,11,0,349,0.33358090707915955,0.32751817138051664,0.3282119519468495,0,0
151,0.0,0,1,1,0,0,6,0,355,0.3392282474718337,0.3328341975759925,0.33526146245939026,0,0
152,0.0,1,0,0,0,1,9,0,274,0.4011415556340621,0.3979947046135384,0.3989768200699522,0,0
153,0.0,1,0,0,1,0,10,0,357,0.3321790016016143,0.326098609969845,0.32681253102502583,0,0
154,1.0,1,0,0,0,1,6,4,383,0.5316424977171756,0.5435503574870119,0.538723362092363,0,1
155,0.0,0,0,0,1,0,15,0,474,0.22201116115315803,0.22976695817748558,0.22808655076974765,0,1
156,0.0,1,0,0,0,0,9,4,250,0.518621204214393,0.5285788363406948,0.5238374150674222,0,0
157,1.0,1,0,0,0,0,9,3,244,0.4913541502856281,0.49801296248277843,0.49467639181205,0,0
158,1.0,1,0,0,1,0,11,0,470,0.3487050587982601,0.3430911712217898,0.3439851701473559,0,1
159,0.0,0,1,0,0,0,12,2,299,0.3274046221842512,0.32379438312540015,0.3236036217909599,0,0
160,0.0,0,1,0,0,0,2,0,734,0.23086701783585256,0.2360932743924694,0.23618996513901497,0,1
161,0.0,0,0,0,0,0,8,3,284,0.35835167799157236,0.35501600678126677,0.3540760734173673,0,0
162,0.0,1,0,0,0,0,10,1,224,0.561753929837119,0.5707560912091806,0.5693725686343942,1,0
163,0.0,1,0,0,0,1,5,0,382,0.4185438037541737,0.4173990332080247,0.4182185627431433,0,1
164,0.0,1,0,0,0,1,11,1,268,0.43051146777914484,0.4300221855968665,0.42973436409228877,0,0
165,0.0,0,0,0,0,0,9,2,214,0.46583184981464487,0.46589739132345753,0.4657517894685123,1,0
166,1.0,1,1,0,0,0,11,0,561,0.3871761686940984,0.38276401273446187,0.38469267605222723,0,1
167,0.0,0,1,0,1,0,6,0,461,0.2242892575541691,0.23162782029822254,0.2299946092033795,0,1
168,0.0,1,0,0,0,1,9,0,769,0.3507266262779215,0.3439827057791748,0.346806907011224,0,1
169,0.0,1,0,0,0,0,14,1,257,0.43243908781076956,0.4321980968645511,0.4318284535060141,0,0
170,0.0,1,0,0,1,1,12,0,452,0.35185934612273695,0.3463706344656174,0.3472003876273482,0,1
171,0.0,0,0,0,0,0,11,0,292,0.2719943234032558,0.27186164308846295,0.27214730123360376,0,0
172,0.0,1,0,1,0,1,12,0,341,0.4676745269638674,0.46823033854352564,0.46929854668994475,0,0
173,1.0,1,1,0,0,0,3,0,663,0.36930187385539626,0.3635240512824623,0.36595034563085016,0,1
174,0.0,0,1,1,0,0,8,0,245,0.3585044477880811,0.35281843096182586,0.3548961322497569,0,0
175,1.0,1,0,1,0,0,12,1,335,0.49704443910895013,0.5012042046720389,0.5007630270534387,0,0
176,1.0,0,1,0,1,0,12,0,323,0.21214415497485223,0.22178170279926498,0.21950296443958078,0,0
177,0.0,0,0,0,0,0,3,0,499,0.27204799123874474,0.27196439002667744,0.2726712546702893,0,1
178,1.0,0,1,0,0,0,9,1,601,0.28249217943696636,0.2809569808689509,0.28158669878183207,0,1
179,0.0,0,1,0,1,0,8,0,370,0.2402359323612465,0.24494700518025103,0.2435982131469812,0,1
180,0.0,1,0,0,0,0,11,0,232,0.53203354132265,0.5377422294387622,0.5377878258407116,1,0
181,1.0,1,0,0,0,0,10,0,286,0.3990386974177442,0.39567805834040914,0.39673380778957085,0,0
182,0.0,1,0,0,0,0,11,0,246,0.40604822480547054,0.40341785395318125,0.4042233849497122,0,0
183,0.0,0,0,0,0,0,9,2,247,0.33651700778829546,0.333044379372579,0.3327067525750098,0,0
184,0.0,0,0,0,0,0,9,0,220,0.4081434546326384,0.40229370767011885,0.40480158954510903,1,0
185,1.0,0,1,0,1,0,7,0,509,0.2158778246888975,0.2248092436348528,0.22299397029638157,0,1
186,1.0,1,0,0,1,0,12,0,334,0.33620947984955696,0.33018835991770284,0.33084236221371566,0,0
187,0.0,1,0,0,0,0,12,2,228,0.5893714601352702,0.6008332099062633,0.5982723633708066,1,0
188,1.0,0,0,0,1,1,9,0,251,0.22476130427275962,0.23196626763182462,0.22995692070964946,0,0
189,1.0,1,0,0,0,0,11,3,226,0.6180404195415802,0.6312955400638223,0.6277445860694998,1,0
190,0.0,1,1,1,0,0,12,0,438,0.4870043951156038,0.4904985738664629,0.49116005020877074,0,1
191,1.0,1,0,1,0,1,11,1,320,0.4996730118793475,0.5042286792750942,0.5036623072444828,0,0
192,1.0,1,0,0,0,0,8,0,272,0.40149203200344846,0.39838126005517205,0.399350982176272,0,0
193,0.0,0,0,0,1,1,11,1,259,0.25167788183213813,0.2541752760333318,0.2524416752253017,0,0
194,0.0,1,0,0,0,1,10,1,287,0.4271819422699748,0.4262701991113529,0.42612198535205803,0,0
195,0.0,0,0,1,0,0,9,0,353,0.33957872384122,0.333192493249818,0.3356146653959585,0,0
196,0.0,0,0,0,1,0,9,3,247,0.3104177061223035,0.30739363103227096,0.30539919422076467,0,0
197,0.0,0,1,0,0,0,7,0,576,0.2585546510173716,0.2598432562969927,0.26041689804017154,0,1
198,0.0,0,0,0,0,0,10,0,205,0.41077202740303576,0.40520619144773307,0.40762041799701354,1,0
199,0.0,0,1,1,0,0,12,0,397,0.36819621578169376,0.3631324803563793,0.36545706186667787,0,1
200,0.0,1,0,0,0,0,11,0,286,0.3990386974177442,0.39567805834040914,0.39673380778957085,0,0
